feature,bin_label,woe,coef,score,count,bad_rate,is_nan_bin
DAYS_ID_PUBLISH,"(-3254.0, -2654.0]",-0.038,-0.065275,40.11,30761,0.0836,False
DAYS_ID_PUBLISH,"(-2654.0, -2044.0]",-0.115,-0.065275,39.96,30712,0.0897,False
DAYS_ID_PUBLISH,"(-2044.0, -1378.0]",-0.1573,-0.065275,39.88,30735,0.0932,False
DAYS_ID_PUBLISH,"(-1378.0, -730.0]",-0.2151,-0.065275,39.77,30766,0.0982,False
DAYS_ID_PUBLISH,"(-730.0, inf]",-0.2539,-0.065275,39.7,30735,0.1017,False
REGION_POPULATION_RELATIVE,"(-inf, 0.00887]",-0.1121,-0.04881,40.02,63155,0.0894,False
REGION_POPULATION_RELATIVE,"(0.00887, 0.0207]",-0.0878,-0.04881,40.05,124112,0.0875,False
REGION_POPULATION_RELATIVE,"(0.0207, 0.0252]",0.0052,-0.04881,40.18,29104,0.0803,False
REGION_POPULATION_RELATIVE,"(0.0252, 0.0308]",0.0838,-0.04881,40.3,34921,0.0747,False
REGION_POPULATION_RELATIVE,"(0.0308, 0.0358]",0.1682,-0.04881,40.41,34365,0.0691,False
REGION_POPULATION_RELATIVE,"(0.0358, inf]",0.6077,-0.04881,41.03,21854,0.0456,False
DAYS_REGISTRATION,"(-inf, -9932.0]",0.3903,-0.046914,40.71,30753,0.0561,False
DAYS_REGISTRATION,"(-9932.0, -8230.0]",0.2133,-0.046914,40.47,30754,0.0662,False
DAYS_REGISTRATION,"(-8230.0, -6776.0]",0.1156,-0.046914,40.33,30753,0.0725,False
DAYS_REGISTRATION,"(-6776.0, -5459.0]",0.0212,-0.046914,40.21,30761,0.0792,False
DAYS_REGISTRATION,"(-5459.0, -1491.0]",-0.0747,-0.046914,40.08,123027,0.0864,False
DAYS_REGISTRATION,"(-1491.0, -690.0]",-0.1243,-0.046914,40.01,30739,0.0904,False
DAYS_REGISTRATION,"(-690.0, inf]",-0.2023,-0.046914,39.9,30724,0.0971,False
BUREAU_CREDIT_SUM_MEAN,"(-inf, 46806.75]",-0.2428,-0.097483,39.49,61503,0.1007,False
BUREAU_CREDIT_SUM_MEAN,"(46806.75, 417968.646]",0.0329,-0.097483,40.27,184506,0.0783,False
BUREAU_CREDIT_SUM_MEAN,"(417968.646, 699225.188]",0.0552,-0.097483,40.33,30751,0.0767,False
BUREAU_CREDIT_SUM_MEAN,"(699225.188, inf]",0.3316,-0.097483,41.11,30751,0.0593,False
POS_COUNT,"(-inf, 16.0]",-0.1429,-0.016532,40.11,126699,0.092,False
POS_COUNT,"(16.0, 21.0]",-0.0248,-0.016532,40.17,32008,0.0826,False
POS_COUNT,"(21.0, 26.0]",0.0341,-0.016532,40.19,28752,0.0782,False
POS_COUNT,"(26.0, 33.0]",0.0947,-0.016532,40.22,28474,0.074,False
POS_COUNT,"(33.0, 43.0]",0.1506,-0.016532,40.25,30574,0.0702,False
POS_COUNT,"(43.0, inf]",0.2176,-0.016532,40.28,61004,0.066,False
